Generation	Average Fitness	Total Fitness
0	-10.305400	-1030.540000
1	-8.823400	-882.340000
2	-7.334400	-733.440000
3	-5.832600	-583.260000
4	-6.762200	-676.220000
5	-5.867800	-586.780000
6	-4.135800	-413.580000
7	-3.830600	-383.060000
8	-3.411000	-341.100000
9	-1.149600	-114.960000
10	-0.755000	-75.500000
11	1.444200	144.420000
12	3.318600	331.860000
13	3.248000	324.800000
14	4.844000	484.400000
15	5.534000	553.400000
16	5.680000	568.000000
17	5.180000	518.000000
18	5.890000	589.000000
19	5.180000	518.000000
20	5.170000	517.000000
21	6.880000	688.000000
22	5.470000	547.000000
23	6.300000	630.000000
24	6.650000	665.000000
25	5.660000	566.000000
26	5.240000	524.000000
27	5.750000	575.000000
28	5.170000	517.000000
29	6.220000	622.000000
30	5.320000	532.000000
31	5.550000	555.000000
32	4.620000	462.000000
33	5.210000	521.000000
34	5.300000	530.000000
35	5.640000	564.000000
36	6.310000	631.000000
37	5.830000	583.000000
38	5.740000	574.000000
39	5.970000	597.000000
40	5.540000	554.000000
41	5.600000	560.000000
42	5.670000	567.000000
43	6.370000	637.000000
44	6.300000	630.000000
45	5.330000	533.000000
46	5.890000	589.000000
47	5.610000	561.000000
48	6.130000	613.000000
49	5.910000	591.000000
50	6.690000	669.000000
51	5.700000	570.000000
52	6.190000	619.000000
53	6.570000	657.000000
54	6.110000	611.000000
55	4.790000	479.000000
56	5.590000	559.000000
57	6.040000	604.000000
58	5.760000	576.000000
59	6.000000	600.000000
60	6.040000	604.000000
61	6.420000	642.000000
62	6.720000	672.000000
63	5.600000	560.000000
64	5.520000	552.000000
65	5.970000	597.000000
66	5.560000	556.000000
67	5.530000	553.000000
68	6.300000	630.000000
69	6.150000	615.000000
70	5.030000	503.000000
71	6.100000	610.000000
72	4.540000	454.000000
73	5.660000	566.000000
74	6.060000	606.000000
75	5.560000	556.000000
76	6.190000	619.000000
77	5.700000	570.000000
78	4.930000	493.000000
79	6.150000	615.000000
80	6.530000	653.000000
81	6.570000	657.000000
82	6.250000	625.000000
83	6.480000	648.000000
84	6.160000	616.000000
85	5.310000	531.000000
86	5.960000	596.000000
87	5.380000	538.000000
88	5.050000	505.000000
89	6.850000	685.000000
90	6.270000	627.000000
91	4.890000	489.000000
92	4.780000	478.000000
93	5.500000	550.000000
94	6.130000	613.000000
95	5.520000	552.000000
96	5.520000	552.000000
97	5.190000	519.000000
98	6.230000	623.000000
99	5.490000	549.000000
